antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,length
frozenset({'DCU'}),frozenset({'Bogie 2 internal power failure 6V or +/- 15V'}),0.3076923076923077,0.23076923076923078,0.23076923076923078,0.75,3.25,0.15976331360946747,3.0769230769230766,1
frozenset({'Bogie 2 internal power failure 6V or +/- 15V'}),frozenset({'DCU'}),0.23076923076923078,0.3076923076923077,0.23076923076923078,1.0,3.25,0.15976331360946747,inf,1
"frozenset({'NA', 'Replace'})",frozenset({'Dislodged'}),0.3076923076923077,0.23076923076923078,0.23076923076923078,0.75,3.25,0.15976331360946747,3.0769230769230766,1
frozenset({'Dislodged'}),"frozenset({'NA', 'Replace'})",0.23076923076923078,0.3076923076923077,0.23076923076923078,1.0,3.25,0.15976331360946747,inf,2
frozenset({'NA'}),frozenset({'Dislodged'}),0.38461538461538464,0.23076923076923078,0.23076923076923078,0.6,2.5999999999999996,0.14201183431952663,1.923076923076923,1
"frozenset({'Replace', 'Dislodged'})",frozenset({'NA'}),0.23076923076923078,0.38461538461538464,0.23076923076923078,1.0,2.5999999999999996,0.14201183431952663,inf,1
frozenset({'NA'}),"frozenset({'Replace', 'Dislodged'})",0.38461538461538464,0.23076923076923078,0.23076923076923078,0.6,2.5999999999999996,0.14201183431952663,1.923076923076923,2
frozenset({'Summary Status of Drive Control Unit  - Major Fault'}),frozenset({'Faulty'}),0.3076923076923077,0.5384615384615384,0.3076923076923077,1.0,1.8571428571428572,0.14201183431952663,inf,1
frozenset({'Faulty'}),frozenset({'Summary Status of Drive Control Unit  - Major Fault'}),0.5384615384615384,0.3076923076923077,0.3076923076923077,0.5714285714285715,1.8571428571428572,0.14201183431952663,1.6153846153846156,1
frozenset({'Summary Status of Drive Control Unit  - Major Fault'}),"frozenset({'Faulty', 'Replace'})",0.3076923076923077,0.5384615384615384,0.3076923076923077,1.0,1.8571428571428572,0.14201183431952663,inf,2
frozenset({'Faulty'}),"frozenset({'Summary Status of Drive Control Unit  - Major Fault', 'Replace'})",0.5384615384615384,0.3076923076923077,0.3076923076923077,0.5714285714285715,1.8571428571428572,0.14201183431952663,1.6153846153846156,2
"frozenset({'Summary Status of Drive Control Unit  - Major Fault', 'Replace'})",frozenset({'Faulty'}),0.3076923076923077,0.5384615384615384,0.3076923076923077,1.0,1.8571428571428572,0.14201183431952663,inf,1
